URL,Subject,Begin,End,Issuer,Comments
"valuations-decision-layer-test.hometrack.com.au","Subject: C=AU, ST=Victoria, L=Richmond, O=Realestate.com.au Pty Ltd, CN=*.uat.proptrack.com","Not Before: Nov 6 00:00:00 2020 GMT","Not After : Nov 1 23:59:59 2021 GMT","Issuer: C=US, O=DigiCert Inc, CN=DigiCert TLS RSA SHA256 2020 CA1"
"valuations-decision-layer-sit.hometrack.com.au","Subject: C=AU, ST=Victoria, L=Richmond, O=Realestate.com.au Pty Ltd, CN=*.uat.proptrack.com","Not Before: Nov 6 00:00:00 2020 GMT","Not After : Nov 1 23:59:59 2021 GMT","Issuer: C=US, O=DigiCert Inc, CN=DigiCert TLS RSA SHA256 2020 CA1"
"test-realas-api.hometrack.com.au","N/A","N/A","N/A","N/A",Certificate checking failed. Unable to connect to the website.
"test-ppr-pdf-generator.hometrack.com.au","N/A","N/A","N/A","N/A",Certificate checking failed. Unable to connect to the website.
"test-ppr-engine.hometrack.com.au","N/A","N/A","N/A","N/A",Certificate checking failed. Unable to connect to the website.
"test-imagery-api.hometrack.com.au","Subject: C=AU, ST=Victoria, L=Richmond, O=Realestate.com.au Pty Ltd, OU=IT Department, CN=*.hometrack.com.au","Not Before: Jun 4 00:00:00 2020 GMT","Not After : Sep 2 12:00:00 2022 GMT","Issuer: C=US, O=DigiCert Inc, CN=DigiCert SHA2 Secure Server CA"
"test-engine.hometrack.com.au","N/A","N/A","N/A","N/A",Certificate checking failed. Unable to connect to the website.
"staging-engine.hometrack.com.au","N/A","N/A","N/A","N/A",Certificate checking failed. Unable to connect to the website.
"sit-realas-api.hometrack.com.au","N/A","N/A","N/A","N/A",Certificate checking failed. Unable to connect to the website.
"sit-ppr-pdf-generator.hometrack.com.au","N/A","N/A","N/A","N/A",Certificate checking failed. Unable to connect to the website.
"sit-ppr-engine.hometrack.com.au","N/A","N/A","N/A","N/A",Certificate checking failed. Unable to connect to the website.
"sit-engine.hometrack.com.au","N/A","N/A","N/A","N/A",Certificate checking failed. Unable to connect to the website.
"reaio-alb-public-test.hometrack.com.au","N/A","N/A","N/A","N/A",Certificate checking failed. Unable to connect to the website.
"qbe-hpb-test-workflow.hometrack.com.au","N/A","N/A","N/A","N/A",Certificate checking failed. Unable to connect to the website.
"qbe-hpb-test-interface.hometrack.com.au","N/A","N/A","N/A","N/A",Certificate checking failed. Unable to connect to the website.
"qbe-hpb-sit-workflow.hometrack.com.au","N/A","N/A","N/A","N/A",Certificate checking failed. Unable to connect to the website.
"qbe-hpb-sit-interface.hometrack.com.au","N/A","N/A","N/A","N/A",Certificate checking failed. Unable to connect to the website.
"qbe-hpb-prod-workflow.hometrack.com.au","N/A","N/A","N/A","N/A",Certificate checking failed. Unable to connect to the website.
"qbe-hpb-prod-interface.hometrack.com.au","N/A","N/A","N/A","N/A",Certificate checking failed. Unable to connect to the website.
"prod-support-engine.hometrack.com.au","N/A","N/A","N/A","N/A",Certificate checking failed. Unable to connect to the website.
